stub on http://127.0.0.1:8839/console

| מצב | פקד | מה נבדק | סוג | הנמדד | הערה | |
| dark | ‎.btn-danger‎ (🗑️ בכרטיס מכשיר) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 15.33:1 · #eef3ff מול #131c2e | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| dark | ‎.btn-danger‎ (🗑️ בכרטיס מכשיר) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | ‎.btn-danger‎ (🗑️ בכרטיס מכשיר) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.03:1 · #ffffff | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |
| dark | קישור בתוך טקסט (מדריך המשתמש) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-3 הקשות | ✅ |
| dark | קישור בתוך טקסט (מדריך המשתמש) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.12:1 · #7ea6ff מול #131c2e | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| dark | קישור בתוך טקסט (מדריך המשתמש) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | קישור בתוך טקסט (מדריך המשתמש) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.03:1 · #ffffff | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |
| dark | תיבת סימון (שלב באשף) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-2 הקשות | ✅ |
| dark | תיבת סימון (שלב באשף) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.12:1 · #7ea6ff מול #131c2e | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| dark | תיבת סימון (שלב באשף) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | תיבת סימון (שלב באשף) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.03:1 · #ffffff | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |

40/40 עוברים. 10 שורות בקרה: 10 אישרו שהפקד אכן נפל לטבעת ברירת המחדל של הדפדפן.
