stub on http://127.0.0.1:8809/console
[light] מזהי לקוח מאושרים · כתובת מול שם הלקוח: rgba(11, 18, 32, 1) 16px מול rgba(92, 106, 128, 1) 12px ✅
[light] מזהי לקוח מאושרים · מזהה מול שם הלקוח: rgba(11, 18, 32, 1) 16px מול rgba(92, 106, 128, 1) 13px ✅
[light] תיבת סימון מסומנת — ‎--accent-control‎ rgb(42, 97, 232) ✅
[light] קישורים מאושרים · כתובת מול שם הקישור: rgba(11, 18, 32, 1) 16px מול rgba(92, 106, 128, 1) 12px ✅
[dark] מזהי לקוח מאושרים · כתובת מול שם הלקוח: rgba(230, 235, 244, 1) 16px מול rgba(154, 168, 191, 1) 12px ✅
[dark] מזהי לקוח מאושרים · מזהה מול שם הלקוח: rgba(230, 235, 244, 1) 16px מול rgba(154, 168, 191, 1) 13px ✅
[dark] תיבת סימון מסומנת — ‎--accent-control‎ rgb(126, 166, 255) ✅
[dark] קישורים מאושרים · כתובת מול שם הקישור: rgba(230, 235, 244, 1) 16px מול rgba(154, 168, 191, 1) 12px ✅

| מצב | מסך | מה נמדד | קדמת | רקע | יחס | סף | גודל/משקל | |
| light | קישורים מאושרים | כתובת הקישור (12px) — "https://hadar.example.com/event/12" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 12px/400 | ✅ |
| light | קישורים מאושרים | כפתור "שמירה" — "שמירה" | `rgba(255, 255, 255, 1)` | `rgb(42, 97, 232)` | **5.28:1** | 4.5:1 | 15px/600 | ✅ |
| light | קוד גישה למכשיר | כותרת הדיאלוג — "קוד גישה למכשיר" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 3:1 | 18.72px/700 | ✅ |
| light | קוד גישה למכשיר | שם המכשיר ומספר סידורי (--muted) — "מכשיר: כניסה ראשית · S/N SN-QA-000" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 16px/400 | ✅ |
| light | קוד גישה למכשיר | הקוד עצמו (code-chip @30px) — "A7K2M9" | `rgba(42, 97, 232, 1)` | `rgb(238, 243, 255)` | **4.76:1** | 3:1 | 30px/700 | ✅ |
| light | קוד גישה למכשיר | פסקת ההסבר על דליפת קוד (13px) — "הקוד מזהה את המכשיר הזה במסך הפתיח" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 13px/400 | ✅ |
| light | קוד גישה למכשיר | כפתור "העתקה" — "העתקה" | `rgba(255, 255, 255, 1)` | `rgb(42, 97, 232)` | **5.28:1** | 4.5:1 | 15px/600 | ✅ |
| light | קוד גישה למכשיר | כפתור "הנפקת קוד חדש" — "הנפקת קוד חדש" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 15px/600 | ✅ |
| light | קוד גישה למכשיר | אזהרת "הקוד הנוכחי יפסיק לעבוד" (--warn-ink) — "הקוד הנוכחי יפסיק לעבוד מיד. כל מי" | `rgba(180, 83, 9, 1)` | `rgb(255, 255, 255)` | **5.02:1** | 4.5:1 | 13px/400 | ✅ |
| light | קוד גישה למכשיר | כפתור "כן, הנפק קוד חדש" — "כן, הנפק קוד חדש" | `rgba(185, 28, 28, 1)` | `rgb(254, 226, 226)` | **5.30:1** | 4.5:1 | 15px/600 | ✅ |
| light | קוד גישה למכשיר | כפתור "ביטול" שליד האדום — "ביטול" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 15px/600 | ✅ |
| light | קוד גישה למכשיר | כותרת הדיאלוג — ערך פסול שהוזרק (בקרת שפיות) | `rgb(185, 195, 212)` | `rgb(255, 255, 255)` | **1.78:1** | 4.5:1 |  | ❌ |
| dark | מזהי לקוח מאושרים | כותרת הדיאלוג — "מזהי לקוח מאושרים" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 3:1 | 18.72px/700 | ✅ |
| dark | מזהי לקוח מאושרים | שורת ההסבר מתחת לכותרת (--muted) — "מכשיר: כניסה ראשית. רק המזהים המסו" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 16px/400 | ✅ |
| dark | מזהי לקוח מאושרים | מונה "כמה מתוך כמה" (13px) — "1 מתוך 2 מאושרים" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 13px/400 | ✅ |
| dark | מזהי לקוח מאושרים | שם הלקוח — "אולם הדר" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 4.5:1 | 16px/700 | ✅ |
| dark | מזהי לקוח מאושרים | מזהה הלקוח (13px monospace) — "1234" | `rgba(154, 168, 191, 1)` | `rgb(11, 18, 32)` | **7.78:1** | 4.5:1 | 13px/400 | ✅ |
| dark | מזהי לקוח מאושרים | כתובת האתר של הלקוח (12px) — "https://hadar.example.com" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 12px/400 | ✅ |
| dark | מזהי לקוח מאושרים | כפתור "סמן הכל" — "סמן הכל" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 13px/600 | ✅ |
| dark | מזהי לקוח מאושרים | כפתור "שמירה" — "שמירה" | `rgba(255, 255, 255, 1)` | `rgb(42, 97, 232)` | **5.28:1** | 4.5:1 | 15px/600 | ✅ |
| dark | מזהי לקוח מאושרים | כפתור "ביטול" — "ביטול" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 15px/600 | ✅ |
| dark | מזהי לקוח מאושרים | שורת "לקוח מושבת" (--warn-ink) — "⛔ הלקוח מושבת — לא יעלה על המכשיר " | `rgba(245, 158, 11, 1)` | `rgb(19, 28, 46)` | **7.93:1** | 4.5:1 | 12px/400 | ✅ |
| dark | מזהי לקוח מאושרים | הערת הדומיינים מתחת לרשימה (12px) — "הדומיינים של הלקוחות שתאשרו יתווספ" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 12px/400 | ✅ |
| dark | מזהי לקוח מאושרים | גבול תיבת הסימון (מסומנת) — הפיקסל הקיצוני בתיבה | `rgb(126, 166, 255)` | `rgb(19, 28, 46)` | **7.12:1** | 3:1 | 1.4.11, דגימה | ✅ |
| dark | מזהי לקוח מאושרים | גבול תיבת הסימון (לא מסומנת) — הפיקסל הקיצוני בתיבה | `rgb(133, 133, 133)` | `rgb(19, 28, 46)` | **4.61:1** | 3:1 | 1.4.11, דגימה | ✅ |
| dark | מזהי לקוח מאושרים | גבול תיבת הסימון (מסומנת) — **לפני**, ברירת המחדל של הדפדפן | `rgb(153, 200, 255)` | `rgb(19, 28, 46)` | **9.78:1** | 3:1 | עבר גם לפני — הבעיה היא הגוון | ✅ |
| dark | קישורים מאושרים | כותרת הדיאלוג — "קישורים מאושרים" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 3:1 | 18.72px/700 | ✅ |
| dark | קישורים מאושרים | שורת ההסבר מתחת לכותרת (--muted) — "מכשיר: כניסה ראשית. רק הקישורים המ" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 16px/400 | ✅ |
| dark | קישורים מאושרים | מונה "כמה מתוך כמה" (13px) — "1 מתוך 1 מאושרים" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 13px/400 | ✅ |
| dark | קישורים מאושרים | שם הקישור — "אולם הדר — חתונה 12/8" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 4.5:1 | 16px/700 | ✅ |
| dark | קישורים מאושרים | כתובת הקישור (12px) — "https://hadar.example.com/event/12" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 12px/400 | ✅ |
| dark | קישורים מאושרים | כפתור "שמירה" — "שמירה" | `rgba(255, 255, 255, 1)` | `rgb(42, 97, 232)` | **5.28:1** | 4.5:1 | 15px/600 | ✅ |
| dark | קוד גישה למכשיר | כותרת הדיאלוג — "קוד גישה למכשיר" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 3:1 | 18.72px/700 | ✅ |
| dark | קוד גישה למכשיר | שם המכשיר ומספר סידורי (--muted) — "מכשיר: כניסה ראשית · S/N SN-QA-000" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 16px/400 | ✅ |
| dark | קוד גישה למכשיר | הקוד עצמו (code-chip @30px) — "A7K2M9" | `rgba(42, 97, 232, 1)` | `rgb(238, 243, 255)` | **4.76:1** | 3:1 | 30px/700 | ✅ |
| dark | קוד גישה למכשיר | פסקת ההסבר על דליפת קוד (13px) — "הקוד מזהה את המכשיר הזה במסך הפתיח" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 13px/400 | ✅ |
| dark | קוד גישה למכשיר | כפתור "העתקה" — "העתקה" | `rgba(255, 255, 255, 1)` | `rgb(42, 97, 232)` | **5.28:1** | 4.5:1 | 15px/600 | ✅ |
| dark | קוד גישה למכשיר | כפתור "הנפקת קוד חדש" — "הנפקת קוד חדש" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 15px/600 | ✅ |
| dark | קוד גישה למכשיר | אזהרת "הקוד הנוכחי יפסיק לעבוד" (--warn-ink) — "הקוד הנוכחי יפסיק לעבוד מיד. כל מי" | `rgba(245, 158, 11, 1)` | `rgb(19, 28, 46)` | **7.93:1** | 4.5:1 | 13px/400 | ✅ |
| dark | קוד גישה למכשיר | כפתור "כן, הנפק קוד חדש" — "כן, הנפק קוד חדש" | `rgba(185, 28, 28, 1)` | `rgb(254, 226, 226)` | **5.30:1** | 4.5:1 | 15px/600 | ✅ |
| dark | קוד גישה למכשיר | כפתור "ביטול" שליד האדום — "ביטול" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 15px/600 | ✅ |
| dark | קוד גישה למכשיר | כותרת הדיאלוג — ערך פסול שהוזרק (בקרת שפיות) | `rgb(42, 53, 80)` | `rgb(19, 28, 46)` | **1.40:1** | 4.5:1 |  | ❌ |

58/60 עוברים. 2 שורות בקרה (אמורות ליפול): 2 נפלו.
