מס' קטלוגי,קטגוריה,תת-קטגוריה,נושא / זכות,קהל יעד,תיאור הזכות,טווח הטבה,כללית,מכבי,מאוחדת,לאומית,הקופה המשתלמת,מקור
945,משרד הבריאות,חולים כרוניים,תקרת השתתפות עצמית ברכישת תרופות לחולים כרוניים,"כל מי שהוגדר 'חולה כרוני' על ידי קופת החולים שלו — לפי אחד מהתנאים:
• חולה במחלה מרשימת המחלות הכרוניות שקבע משרד הבריאות.
• מטופל בתרופה מרשימת התרופות הכרוניות בצריכה חודשית קבועה.
• מקבל תרופה כלשהי לפי מרשם רופא ברצף של 6 חודשים לפחות.",חולה כרוני לא ישלם יותר מהתקרה הרבעונית על תרופות — גם אם הוא זקוק לתרופות רבות.,"הטבה/מימון בין 189 ל-1,333 ₪",,,,,,
946,משרד הבריאות,בריאות השן,טיפולי שיניים לילדים ונוער עד גיל 18 — בסל הבריאות,כל ילד ובן נוער עד גיל 18 המבוטח בקופת חולים. כמו כן: תלמידים מגן חובה עד כיתה ט' — שירות מניעתי בבתי הספר על ידי רשויות מקומיות (ממומן על ידי משרד הבריאות). קשישים מגיל 72 ומעלה — גם כן זכאים לסל שיניים (משיקומי ומשמר).,כל ילד עד גיל 18 זכאי לטיפולי שיניים דרך קופת החולים.,,,,,,,
947,משרד הבריאות,נסיעות לטיפולים,"מימון הוצאות נסיעה לטיפולים רפואיים — חולים אונקולוגיים, דיאליזה ועוד","חולים אונקולוגיים הדורשים טיפולים תכופים, חולי דיאליזה (מגיעים 3 פעמים בשבוע), חולים עם הנשמה ביתית, חולי שתל מח עצם — זכאים לסיוע בנסיעות.",חולים אונקולוגיים וחולי דיאליזה זכאים לקבל החזר על נסיעות לטיפולים.,,,,,,,
948,משרד הבריאות,הרחבת סל,הרחבת סל הבריאות השנתי — ועדה ציבורית 2025/2026,"כל מבוטח בישראל — הרחבת הסל חלה על כל קופות החולים. ספציפית ל-2025: חולי סוכרת סוג 1 מגיל 41, קטועי גפיים תחתונות K2–K4, ילדים עם עקירות כירורגיות, אנשים עם אלופציה, חולי מחלות נדירות ועוד.",כל שנה ממשלת ישראל מוסיפה תרופות וטיפולים חדשים לסל הבריאות.,"הטבה/מימון בין 50 ל-5,569 ₪",,,,,,
949,משרד הבריאות,תלונות וזכויות,נציבות קבילות הציבור לחוק ביטוח בריאות ממלכתי,"כל מבוטח שקופת החולים סירבה לספק לו שירות מהסל, תרופה, מכשיר, או הפניה — ורוצה לערער. גם מי שחש שקופתו מפלה אותו לעומת מבוטחים אחרים.",אם קופת החולים סירבה לתת לך שירות שמגיע לך לפי הסל — ניתן להתלונן בנציבות.,,,,,,,
950,משרד הבריאות,קנאביס רפואי,"רישיון ומרשם לקנאביס רפואי — נוהל יק""ר ונוהל 106","חולים הסובלים ממצבים רפואיים המוכרים להתוויות קנאביס: PTSD, כאב כרוני, אונקולוגיה (סרטן), מחלות דלקתיות מעי, טרשת נפוצה, אפילפסיה, תסמיני כאב נוירופתי, בחילות בטיפולי כימותרפיה, פליאטיב, ועוד. כולל ילדים במקרים מסוימים.","קנאביס רפואי ניתן בישראל על ידי רופא מומחה מוסמך, למגוון מצבים רפואיים: סרטן, PTSD, כאב כרוני, טרשת נפוצה ועוד.",הטבה/מימון בין 186 ל-360 ₪,,,,,,
951,משרד הבריאות,מחלות נדירות,"זכויות חולי מחלות נדירות — תרופות יתום, ועדות חריגים וקרנות","חולים הסובלים ממחלה נדירה — מחלה הפוגעת בפחות מ-1 מכל 2,000 אנשים. בישראל קיימות אלפי מחלות נדירות. כולל ילדים ומבוגרים. מחלות כגון: מחלת גושה, ניסן-פיק, פברי, מחלות מטבוליות נדירות, תסמונות גנטיות נדירות, מחלות עצב-שריר נדירות ועוד.","חולי מחלות נדירות בישראל זכאים לתרופות יתום כשהן נכנסות לסל הבריאות, ולפנייה לוועדת חריגים בקופה כשהתרופה אינה בסל.",,,,,,,
952,ביטוח לאומי,נכות כללית,קצבת נכות כללית — קצבה חודשית לפי דרגת אי-כושר,"תושבי ישראל מגיל 18 ועד גיל פרישה (67 לגברים, 62–65 לנשים לפי שנת לידה), שהמצב הרפואי שלהם פגע ביכולתם לעבוד ולהשתכר. כולל: נכות פיזית, נפשית, שכלית ומחלות כרוניות. אינו כולל נפגעי עבודה (להם מסלול נפרד).",קצבת נכות כללית היא קצבה חודשית של ביטוח לאומי למי שמחלה או ליקוי פגעו ביכולתו לעבוד.,"הטבה/מימון בין 728 ל-4,711 ₪",,,,,,
953,ביטוח לאומי,נכות כללית,תוספות לקצבת נכות כללית — תלויים ווותק,מקבלי קצבת נכות כללית שיש להם ילדים מתחת לגיל 18 ו/או בן/בת זוג תושב/ת ישראל שהכנסתם נמוכה מהסף.,"מקבל קצבת נכות יכול לקבל תוספת עבור בן/בת זוג (1,518 ₪ בדרגה מלאה) ועד שני ילדים מתחת לגיל 18 (1,214 ₪ לכל ילד, בדרגה מלאה) — נכון ל-2026.","הטבה/מימון בין 728 ל-8,657 ₪",,,,,,
954,ביטוח לאומי,ניידות,"קצבת ניידות — קצבה חודשית, הלוואה עומדת לרכב ואביזרים","מוגבלים בניידות עקב ליקויים ברגליים, שגיל 3 ועד גיל פרישה (ניתן להמשיך לאחר גיל פרישה אם הוכרו לפני כן), שועדה רפואית של משרד הבריאות קבעה להם אחוזי מוגבלות על פי רשימת ליקויים סגורה.","קצבת ניידות ניתנת לאנשים עם ליקויים בגפיים תחתונות שהגבילו את ניידותם, לפי קביעת ועדה של משרד הבריאות.","הטבה/מימון בין 382 ל-100,000 ₪",,,,,,
955,ביטוח לאומי,שירותים מיוחדים,"קצבת שירותים מיוחדים (שר""מ) — 4 רמות לפי מידת תלות","גברים ונשים מגיל 18 ועד גיל פרישה, שנקבעה להם נכות כללית ברמה מספקת, וזקוקים לעזרה רבה של אדם אחר בפעולות יום-יום (לבישה, אכילה, רחצה, ניידות בבית, היגיינה) או להשגחה מתמדת. מי שהיה זכאי לפני גיל פרישה ימשיך לקבל גם לאחריו.","קצבת שירותים מיוחדים (שר""מ) מגיעה בנוסף לקצבת הנכות, למי שזקוק לעזרת אדם אחר בחיי היום-יום.","הטבה/מימון בין 1,215 ל-13,837 ₪",,,,,,
956,ביטוח לאומי,ילד נכה,גמלת ילד נכה — 5 רמות קצבה חודשית לילדים עם מוגבלות,"הורים/אפוטרופוסים לילדים בגיל 91 יום עד 18 שנה ו-3 חודשים (ומגיל הלידה לילדים עם תסמונת דאון או ירידה בשמיעה), שיש להם ליקוי רפואי, מחלה כרונית, מוגבלות שכלית/התפתחותית, צורך בהשגחה מיוחדת או טיפול רפואי קבוע.","גמלת ילד נכה ניתנת להורים לילד עם מוגבלות, מחלה כרונית, אוטיזם, עיכוב התפתחותי, ירידה בשמיעה ועוד.","הטבה/מימון בין 673 ל-10,774 ₪",,,,,,
957,ביטוח לאומי,סיעוד,גמלת סיעוד — שירותים ותשלום לפי 6 רמות תלות,"אזרחים ותיקים שהגיעו לגיל פרישה, הגרים בביתם או בדיור מוגן (לא מוסד סיעודי), וזקוקים לעזרת אדם אחר בפעולות יום-יום (ניידות, רחצה, הלבשה, אכילה, שירותים) או להשגחה (דמנציה, נפילות, שוטטות).","גמלת סיעוד ניתנת לאזרחים ותיקים שמתקשים בפעולות יום-יום (רחצה, הלבשה, ניידות, אכילה, שירותים) או שאינם ניתנים לפיקוח עצמי (דמנציה).","הטבה/מימון בין 248 ל-7,238 ₪",,,,,,
958,ביטוח לאומי,נפגעי עבודה,דמי פגיעה — תשלום לנפגע עבודה בתקופת אי-כושר (עד 91 יום),"עובדים שכירים ועצמאיים שנפגעו בתאונת עבודה (כולל מחלת מקצוע ופגיעה בדרך לעבודה/ממנה), ואינם מסוגלים לעבוד עקב הפגיעה.","עובד שנפגע בתאונת עבודה זכאי לדמי פגיעה — 75% משכרו, עד 1,314.25 ₪ ליום (2026), למשך עד 91 יום.","הטבה/מימון בין 1,314 ל-39,428 ₪",,,,,,
959,ביטוח לאומי,נפגעי עבודה,קצבת נכות מעבודה — קצבה חודשית לנכה עבודה קבוע,נפגעי עבודה שבעקבות הפגיעה נקבעה להם נכות בדרגה 9% ומעלה ולא החלימו לאחר 91 יום. כולל קצבה מיוחדת לבעלי נכות גבוהה הזקוקים לסיוע אישי.,נפגע עבודה שנכותו הקבועה היא 9% ומעלה זכאי לקצבה חודשית (מחושבת לפי שכרו ואחוזי הנכות) או מענק חד-פעמי.,"הטבה/מימון בין 344 ל-39,428 ₪",,,,,,
960,ביטוח לאומי,נפגעי עבודה,"טיפול רפואי לנפגע עבודה — ריפוי, שיקום ופטור מהשתתפות עצמית",עובדים שנפגעו בתאונת עבודה מוכרת ומטופלים בקופת החולים שלהם. כולל מחלת מקצוע ופגיעה בדרך.,"נפגע עבודה מקבל טיפול רפואי מלא מקופת החולים, פטור מהשתתפות עצמית.",,,,,,,
961,ביטוח לאומי,שיקום מקצועי,שיקום מקצועי — מימון לימודים ודמי שיקום לנכים,"אנשים עם נכות כללית שנקבעה להם לפחות 20% נכות רפואית, שאינם מסוגלים לחזור לעבודתם הקודמת, עד גיל פרישה, ומתאימים לשיקום מקצועי.","מי שנקבעה לו נכות 20%+ ואינו יכול לחזור לעבודתו הקודמת זכאי לשיקום מקצועי: מימון לימודים, ספרים ונסיעות, ודמי שיקום חודשיים שמשלימים את הקצבה לרמה של 100% (4,711 ₪ ב-2026).","הטבה/מימון עד 4,711 ₪",,,,,,
962,ביטוח לאומי,ניידות,"מכשירי שיקום וניידות — כיסאות גלגלים, הליכונים ואביזרי ניידות לנפגעי עבודה","תושבים עם נכות קבועה הזקוקים למכשירי שיקום וניידות: כיסאות גלגלים, הליכונים, מנופים, מיטות סיעודיות, תותבות, מכשירי שמיעה (ילדים עד 18), מערכות תקשורת תומכת וחליפית ועוד. לנפגעי עבודה — ממומן ישירות על ידי ביטוח לאומי.",אנשים עם נכות קבועה זכאים לסיוע במימון מכשירי שיקום וניידות דרך קופת החולים.,,,,,,,
963,ביטוח לאומי,נסיעות לטיפולים,החזר הוצאות נסיעה לטיפולים רפואיים — דיאליזה ואונקולוגיה,"חולי אי-ספיקת כליות כרונית הנוסעים לטיפולי דיאליזה, וחולים אונקולוגים הנוסעים לטיפולי כימותרפיה ו/או הקרנות. חלה על כל המבוטחים בכל קופות החולים.",חולי דיאליזה וחולים אונקולוגים זכאים להחזר על נסיעות לטיפולים.,,,,,,,
964,ביטוח לאומי,נכות כללית,עקרת בית נשואה — מסלול מיוחד לקצבת נכות,"אישה נשואה (או אלמנה/גרושה) שלא עבדה תקופה ממושכת לפני הגשת תביעתה, ואינה עומדת בתנאי הכנסה מעבודה של המסלול הרגיל. בודקים אותה לפי מסלול 'עקרת בית'.","אישה נשואה שלא עבדה לאחרונה ולא עמדה בתנאי ההכנסה של המסלול הרגיל, יכולה לתבוע קצבת נכות במסלול 'עקרת בית'.","הטבה/מימון בין 2,718 ל-4,711 ₪",,,,,,
965,ביטוח לאומי,נכות כללית,בדיקת זכאות לנכות כללית לאחר גיל פרישה — מי שהיה זכאי לפני,מי שהוכר כנכה כללי לפני גיל פרישה ורוצה להמשיך לקבל את הקצבה. גם מי שיש לו ליקוי רפואי לפני גיל פרישה שלא פנה בזמנו.,מי שהוכר כנכה כללי לפני גיל פרישה ימשיך לקבל קצבה גם לאחריו.,,,,,,,
966,ביטוח לאומי,ניידות,"הטבות נוספות בניידות — תו נכה, פטור ממסים, אביזרי רכב","מוגבלים בניידות המקבלים גמלת ניידות, ומי שיש להם מגבלות רפואיות תנועתיות המצדיקות תו חניה לנכה גם ללא קצבת ניידות.","בנוסף לקצבה חודשית, מוגבלי ניידות זכאים להלוואה עומדת לרכישת רכב (עד ~90,000 ₪), החזר על אביזרים מיוחדים, תו חניה לנכה (ניתן גם ללא קצבת ניידות), ופטורים מאגרת רישוי.","הטבה/מימון עד 90,000 ₪",,,,,,
967,ביטוח לאומי,נכות כללית,סל שיקום נפשי — לנכים עם ליקוי נפשי 40%+,"מקבלי קצבת נכות כללית שנקבע להם ליקוי רפואי נפשי בשיעור 40% ומעלה, ומעוניינים בשיקום חברתי, תעסוקתי ויישובי.","מקבלי קצבת נכות שנקבע להם 40%+ ליקוי נפשי זכאים לסל שיקום נפשי — שירותי ליווי, תמיכה בתעסוקה ודיור, ועוד — ללא תשלום, דרך ביטוח לאומי.",,,,,,,
968,ביטוח לאומי,שיקום — נפגעי עבודה,"שיקום מקצועי לנפגעי עבודה — הכשרה, מענק התאמת מגורים","נפגעי עבודה שנקבעה להם נכות יציבה של 75% ומעלה (או 74%–65% עם קשיי הליכה), הזקוקים לשיקום מקצועי, התאמת מגורים, או רכישת אביזרים.","נפגע עבודה עם 75%+ נכות יציבה זכאי לשיקום מקצועי, מענק התאמת מגורים, ורכישת אביזרים — בנוסף לקצבה המיוחדת.",,,,,,,
969,ביטוח לאומי,קרן לנכים,קרן לפיתוח שירותים לנכים — ביטוח לאומי,"גופים ציבוריים, רשויות מקומיות, עמותות ומוסדות — לא יחידים.
הקרן מממנת תשתיות ושירותים לאנשים עם מוגבלות, לא ישירות לאנשים פרטיים.",הביטוח הלאומי מפעיל קרן מיוחדת לפיתוח שירותים ותשתיות לאנשים עם מוגבלות.,"הטבה/מימון עד 500,000 ₪",,,,,,
970,ביטוח לאומי,נפגעי פעולות איבה,תגמולים ושיקום לנפגעי פעולות איבה,"אזרחים ישראלים (ולעיתים תושבים זרים בישראל) שנפגעו פיזית או נפשית מפעולת איבה — פיגוע, ירי, טיל, דקירה, רכב דורס וכו'. כולל תיירים שנפגעו בישראל. כולל בני משפחה שכולה של נפגעי פעולות איבה שנהרגו.","אזרחים שנפגעו בפיגוע או בפעולת איבה בישראל זכאים לתגמול חודשי ולכיסוי רפואי מלא דרך ביטוח לאומי, בדומה לנכי צה""ל.",,,,,,,
971,משרד הרווחה,שיקום קהילתי,מרכזי שיקום קהילתיים לאנשים עם מוגבלות,"אנשים עם מוגבלות מגיל 21 ומעלה:
1. מוגבלות שכלית-התפתחותית (מ.ש.ה.).
2. אוטיזם.
3. נכים קשים (פיזית/נוירולוגית).
4. פגועי ראש.
5. עיוורים ולקויי ראייה (מרכז מגדל אור — ארצי).
6. מי שזקוק למסגרת טיפולית-שיקומית מחוץ לבית.","מרכזי שיקום קהילתיים הם מסגרות יומיות שממומנות על ידי משרד הרווחה, ומיועדות לאנשים עם מוגבלות מגיל 21.",,,,,,,
972,משרד הרווחה,שיקום נפשי,סל שיקום לנכי נפש בקהילה — חוק שיקום נכי נפש,"תושבי ישראל מגיל 18 ומעלה, עם נכות נפשית ≥40% שנקבעה על ידי הביטוח הלאומי (אגף נכות כללית), הרוצים לחיות בקהילה ולא במסגרת אשפוזית.","חוק שיקום נכי נפש מעניק לאנשים עם נכות נפשית של 40% ומעלה (לפי הביטוח הלאומי) זכות לסל שיקום אישי הכולל דיור, תעסוקה, השכלה ופנאי — הכול בקהילה ולא במוסד.",,,,,,,
973,משרד הרווחה,ילדים עם מוגבלות,מעון יום שיקומי לפעוטות עם מוגבלות — מגיל חצי שנה עד 3,"פעוטות מגיל חצי שנה עד 3 שנים, עם מוגבלות, המקיימים את אחד מהתנאים:
1. מקבלי גמלת ילד נכה מהביטוח הלאומי + צריכים טיפולים פרא-רפואיים.
2. ציון DQ (מנת התפתחות) ≤55.
3. לקות שמיעה בשתי אוזניים.
4. לקות ראייה בשתי העיניים.
5. פגיעה נוירולוגית קשה.","פעוטות עם מוגבלות מגיל חצי שנה עד 3 שנים יכולים לקבל מקום במעון יום שיקומי — מסגרת מיוחדת שמשלבת טיפולים רפואיים, פיזיותרפיה, ריפוי בעיסוק וקלינאות תקשורת, ביחד עם מסגרת גן.",,,,,,,
974,משרד הרווחה,שירותי רווחה,שירותי רווחה לאנשים עם מוגבלות — מינהל מוגבלויות,"אנשים עם מוגבלות מגיל 21 ומעלה:
1. מוגבלות שכלית-התפתחותית.
2. מוגבלות פיזית קשה.
3. מוגבלות חושית (עיוורון, חרשות).
4. מוגבלות נוירולוגית (פגיעות מוח, שיתוק מוחין).
5. אוטיזם.
כמו כן: ילדים עם מוגבלות שנדרשים למסגרות מיוחדות (מסגרות גיל אחרות).","משרד הרווחה מפעיל מגוון שירותים לאנשים עם מוגבלות — דיור, תעסוקה, מרכזי יום ושיקום.",,,,,,,
975,"משרד הביטחון / נכי צה""ל",תגמולים חודשיים,"תגמול חודשי בסיסי לנכי צה""ל וכוחות הביטחון","חיילים ואנשי כוחות הביטחון שנפגעו במהלך שירות סדיר, מילואים או קבע, ונקבעה להם דרגת נכות על ידי ועדה רפואית של אגף השיקום. כולל מי שנפגע בפעולה מבצעית, תאונת דרכים בשירות, מחלה שנגרמה בשל השירות. הזכות חלה גם על בני משפחה (אלמנות ויתומים) של חיילים שנפלו.","נכי צה""ל זכאים לתגמול חודשי קבוע ממשרד הביטחון לפי אחוז הנכות שנקבע להם.","הטבה/מימון בין 58 ל-237,227 ₪",,,,,,
976,"משרד הביטחון / נכי צה""ל","בריאות, אביזרים ונופש","סל רפואי ושיקומי לנכי צה""ל — טיפולים, אביזרים, הבראה וחמי מרפא","נכי צה""ל המוכרים על ידי אגף השיקום (דרגת נכות מוכרת 10% ומעלה). הסל ניתן בנוסף לתגמול החודשי. ילדים ובני זוג של נכים קשים יכולים להיות זכאים לחלק מהשירותים.","נכי צה""ל זכאים לסל רפואי ושיקומי מקיף ממשרד הביטחון, מעבר לתגמול החודשי.",,,,,,,
977,משרד הביטחון / חיילים משוחררים,פיקדון אישי לחיילים משוחררים,פיקדון אישי לחיילים משוחררים מגיוס חובה,"חיילים ישראלים שסיימו שירות חובה בצבא ההגנה לישראל (גיוס חובה רגיל). כולל חיילים ששירתו במסלולי לחימה, תמיכת לחימה, עורפיים, שירות לאומי-אזרחי, שירות ביניים, ומסלול מפוצל. לא חל על מי שסיים קבע (יש להם הסדרים אחרים).","כל חייל שסיים שירות חובה בצה""ל זכאי לפיקדון כספי שנצבר לאורך השירות.","הטבה/מימון בין 331 ל-31,791 ₪",,,,,,
978,משרד הביטחון / חיילים משוחררים,מענק השתלבות,מענק השתלבות לחיילים משוחררים (סל קליטה),חיילים ישראלים שסיימו שירות חובה ועונים על קריטריונים סוציו-אקונומיים (הכנסה נמוכה). מיועד לסייע בקליטה חברתית לאחר השחרור.,חיילים שסיימו שירות חובה ועומדים בקריטריוני הכנסה יכולים לקבל מענק השתלבות חד-פעמי במסגרת סל הקליטה של משרד הביטחון.,,,,,,,
979,ניצולי שואה,קצבאות וסיוע רפואי,קצבה חודשית וסיוע רפואי לניצולי שואה — הרשות לזכויות ניצולי שואה,"ניצולי שואה המוכרים ככאלה לפי חוק הנאצים ועוזריהם — מי שגורשו, נרדפו, שהו בגטאות, מחנות, ומסתתרים. כולל ניצולים שנמלטו בגלל הרדיפות הנאציות (נכי רדיפות הנאצים). תושבי ישראל בלבד לצורך הרשות; Claims Conference מעניקה גם לניצולים שאינם ישראלים.","ניצולי שואה המוכרים בישראל זכאים לקצבה חודשית מהרשות לזכויות ניצולי שואה, שגובהה תלוי בדרגת הנכות שנקבעה.","הטבה/מימון בין 790 ל-30,000 ₪",,,,,,
980,ניצולי שואה,"שיניים, שמיעה וסיעוד",טיפולי שיניים ומכשירי שמיעה לניצולי שואה,"ניצולי שואה מוכרים (נ""מ ונ""ר) שיש להם בעיות שמיעה או שיניים. הזכויות שונות לפי הגוף הממן: הרשות — למי שאיבוד שמיעה/שיניים הוכר כנכות הקשורה לשואה. קרן לרווחה — לניצולים עם הכנסה נמוכה ללא קשר להכרת הנכות.",ניצולי שואה מוכרים זכאים לסיוע בטיפולי שיניים ובמכשירי שמיעה.,"הטבה/מימון בין 4,000 ל-10,447 ₪",,,,,,
981,משרד התחבורה / נכים,תו חניה ופטור אגרת רישוי,תו חניה לנכה ופטור מאגרת רישוי רכב,"אנשים עם נכות המוכרת על ידי גוף רשמי (ביטוח לאומי, אגף השיקום, שירות נכות כללית) ועומדים בקריטריוני הניידות. כולל: נכות בגפיים, עיוורון, שימוש בכיסא גלגלים, קושי ניידות ניכר. גם קרוב משפחה המסיע נכה עשוי לקבל תו.",תו חניה לנכה מאפשר חניה במקומות מוגבלים לנכים וחניה בתשלום ללא עלות.,הטבה/מימון עד 900 ₪,,,,,,
982,הנחות ופטורים,ארנונה,"הנחות ארנונה לנכים, נכי צה""ל ושכולים","נכים מוכרים, נכי צה""ל, משפחות שכולות, עיוורים ונכים מלחמה בנאצים המחזיקים בנכס מגורים. ההנחות מחולקות לחובה (שרשות מקומית חייבת לתת) ורשות (שרשות מקומית יכולה לתת לפי שיקול דעתה).","נכים מוכרים, נכי צה""ל ומשפחות שכולות זכאים להנחה משמעותית בארנונה.",,,,,,,
