stub on http://127.0.0.1:8841/console

| מצב | פקד | מה נבדק | סוג | הנמדד | הערה | |
| light | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 486 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| light | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 4.77:1 · #7ea6ff מול #2a3b51 | משטח מחושב (מורכב): #2b3b51 · הפיקסל החזק ברצועה: #7ea6ff ב-4.77:1 | ✅ |
| light | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 11.40:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| light | ‎.btn-primary‎ ב-hero | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| light | ‎.btn-primary‎ ב-hero | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 830 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| light | ‎.btn-primary‎ ב-hero | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 6.49:1 · #7ea6ff מול #0c2445 | משטח מחושב (מורכב): #071a33 · הפיקסל החזק ברצועה: #7ea6ff ב-6.49:1 | ✅ |
| light | ‎.btn-primary‎ ב-hero | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | ‎.btn-primary‎ ב-hero | **לפני** — מה הדפדפן צייר בפועל | ממצא | 15.51:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| light | ‎.btn-ghost‎ ב-hero | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| light | ‎.btn-ghost‎ ב-hero | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 622 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| light | ‎.btn-ghost‎ ב-hero | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 6.51:1 · #7ea6ff מול #0c2443 | משטח מחושב (מורכב): #071a33 · הפיקסל החזק ברצועה: #7ea6ff ב-6.51:1 | ✅ |
| light | ‎.btn-ghost‎ ב-hero | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | ‎.btn-ghost‎ ב-hero | **לפני** — מה הדפדפן צייר בפועל | ממצא | 15.57:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| light | ‎.btn-light‎ בכרטיס מחירון | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #2a61e8 · offset 2px | הגעה ב-1 הקשות · צפוי #2a61e8 | ✅ |
| light | ‎.btn-light‎ בכרטיס מחירון | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 436 פיקסלים בצבע #2a61e8 | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| light | ‎.btn-light‎ בכרטיס מחירון | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 5.28:1 · #2a61e8 מול #ffffff | משטח מחושב (מורכב): #ffffff · הפיקסל החזק ברצועה: #2a61e8 ב-5.28:1 | ✅ |
| light | ‎.btn-light‎ בכרטיס מחירון | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | ‎.btn-light‎ בכרטיס מחירון | **לפני** — מה הדפדפן צייר בפועל | ממצא | 19.03:1 · #101010 | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| light | ‎.btn-primary‎ בכרטיס המודגש | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #2a61e8 · offset 2px | הגעה ב-1 הקשות · צפוי #2a61e8 | ✅ |
| light | ‎.btn-primary‎ בכרטיס המודגש | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 332 פיקסלים בצבע #2a61e8 | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| light | ‎.btn-primary‎ בכרטיס המודגש | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 5.28:1 · #2a61e8 מול #ffffff | משטח מחושב (מורכב): #ffffff · הפיקסל החזק ברצועה: #2a61e8 ב-5.28:1 | ✅ |
| light | ‎.btn-primary‎ בכרטיס המודגש | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | ‎.btn-primary‎ בכרטיס המודגש | **לפני** — מה הדפדפן צייר בפועל | ממצא | 19.03:1 · #101010 | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| light | ‎.btn-ghost‎ ברצועת הסיום | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #ffffff · offset 2px | הגעה ב-2 הקשות · צפוי #ffffff | ✅ |
| light | ‎.btn-ghost‎ ברצועת הסיום | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 718 פיקסלים בצבע #ffffff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| light | ‎.btn-ghost‎ ברצועת הסיום | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 5.33:1 · #ffffff מול #4957f3 | משטח מחושב (מורכב): #2450c8 · הפיקסל החזק ברצועה: #ffffff ב-5.33:1 | ✅ |
| light | ‎.btn-ghost‎ ברצועת הסיום | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | ‎.btn-ghost‎ ברצועת הסיום | **לפני** — מה הדפדפן צייר בפועל | ממצא | 5.33:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 328 | ✅ |
| light | קישור בפוטר | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| light | קישור בפוטר | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 484 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| light | קישור בפוטר | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.29:1 · #7ea6ff מול #071a33 | משטח מחושב (מורכב): #071a33 · הפיקסל החזק ברצועה: #7ea6ff ב-7.29:1 | ✅ |
| light | קישור בפוטר | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | קישור בפוטר | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.43:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| dark | קישור הדילוג | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| dark | קישור הדילוג | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 448 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| dark | קישור הדילוג | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.45:1 · #7ea6ff מול #06182f | משטח מחושב (מורכב): #0b1220 · הפיקסל החזק ברצועה: #ffffff ב-17.80:1 | ✅ |
| dark | קישור הדילוג | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | קישור הדילוג | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.80:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| dark | קישור ניווט (מה זה עושה) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| dark | קישור ניווט (מה זה עושה) | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 488 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| dark | קישור ניווט (מה זה עושה) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.45:1 · #7ea6ff מול #06182f | משטח מחושב (מורכב): #081930 · הפיקסל החזק ברצועה: #7ea6ff ב-7.45:1 | ✅ |
| dark | קישור ניווט (מה זה עושה) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | קישור ניווט (מה זה עושה) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.80:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| dark | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-4 הקשות · צפוי #7ea6ff | ✅ |
| dark | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 486 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| dark | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.45:1 · #7ea6ff מול #06182f | משטח מחושב (מורכב): #081930 · הפיקסל החזק ברצועה: #7ea6ff ב-7.45:1 | ✅ |
| dark | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 1.07:1 · #0e1012 | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| dark | ‎.btn-primary‎ ב-hero | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| dark | ‎.btn-primary‎ ב-hero | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 830 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| dark | ‎.btn-primary‎ ב-hero | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 6.49:1 · #7ea6ff מול #0c2445 | משטח מחושב (מורכב): #071a33 · הפיקסל החזק ברצועה: #7ea6ff ב-6.49:1 | ✅ |
| dark | ‎.btn-primary‎ ב-hero | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | ‎.btn-primary‎ ב-hero | **לפני** — מה הדפדפן צייר בפועל | ממצא | 15.51:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| dark | ‎.btn-ghost‎ ב-hero | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| dark | ‎.btn-ghost‎ ב-hero | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 622 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| dark | ‎.btn-ghost‎ ב-hero | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 6.51:1 · #7ea6ff מול #0c2443 | משטח מחושב (מורכב): #071a33 · הפיקסל החזק ברצועה: #7ea6ff ב-6.51:1 | ✅ |
| dark | ‎.btn-ghost‎ ב-hero | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | ‎.btn-ghost‎ ב-hero | **לפני** — מה הדפדפן צייר בפועל | ממצא | 1.22:1 · #0f1011 | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| dark | ‎.btn-light‎ בכרטיס מחירון | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| dark | ‎.btn-light‎ בכרטיס מחירון | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 434 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| dark | ‎.btn-light‎ בכרטיס מחירון | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.12:1 · #7ea6ff מול #131c2e | משטח מחושב (מורכב): #131c2e · הפיקסל החזק ברצועה: #7ea6ff ב-7.12:1 | ✅ |
| dark | ‎.btn-light‎ בכרטיס מחירון | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | ‎.btn-light‎ בכרטיס מחירון | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.03:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| dark | ‎.btn-primary‎ בכרטיס המודגש | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| dark | ‎.btn-primary‎ בכרטיס המודגש | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 330 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| dark | ‎.btn-primary‎ בכרטיס המודגש | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.12:1 · #7ea6ff מול #131c2e | משטח מחושב (מורכב): #131c2e · הפיקסל החזק ברצועה: #7ea6ff ב-7.12:1 | ✅ |
| dark | ‎.btn-primary‎ בכרטיס המודגש | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | ‎.btn-primary‎ בכרטיס המודגש | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.03:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| dark | ‎.btn-ghost‎ ברצועת הסיום | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #ffffff · offset 2px | הגעה ב-2 הקשות · צפוי #ffffff | ✅ |
| dark | ‎.btn-ghost‎ ברצועת הסיום | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 718 פיקסלים בצבע #ffffff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| dark | ‎.btn-ghost‎ ברצועת הסיום | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 5.33:1 · #ffffff מול #4957f3 | משטח מחושב (מורכב): #2450c8 · הפיקסל החזק ברצועה: #ffffff ב-5.33:1 | ✅ |
| dark | ‎.btn-ghost‎ ברצועת הסיום | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | ‎.btn-ghost‎ ברצועת הסיום | **לפני** — מה הדפדפן צייר בפועל | ממצא | 3.57:1 · #101010 | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| dark | קישור בפוטר | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| dark | קישור בפוטר | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 484 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| dark | קישור בפוטר | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.29:1 · #7ea6ff מול #071a33 | משטח מחושב (מורכב): #071a33 · הפיקסל החזק ברצועה: #7ea6ff ב-7.29:1 | ✅ |
| dark | קישור בפוטר | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | קישור בפוטר | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.43:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |

90/90 עוברים. 18 שורות בקרה: 18 אישרו שהפקד אכן נפל לטבעת ברירת המחדל של הדפדפן.
